try_number,demand_scenario,preemption_strategy,hold_duration,priority_enabled,priority_distance,id,start_time,end_time,travel_time,distance,stopped_time,traffic_at_start_pct,traffic_at_end_pct,congestion_delta_pct,tl_count
1,normal,none,0,False,0.0,emergency_0,315.0,327.0,12.0,161.7,0.0,18.1,29.6,11.5,0
1,normal,none,0,False,0.0,emergency_1,328.0,418.0,90.0,655.0,49.0,29.2,23.3,-5.9,3
1,normal,none,0,False,0.0,emergency_2,402.0,510.0,108.0,1075.3,0.0,34.2,11.4,-22.8,0
1,normal,none,0,False,0.0,emergency_5,625.0,634.0,9.0,86.6,0.0,25.0,34.7,9.7,0
1,normal,none,0,False,0.0,emergency_4,619.0,661.0,42.0,610.4,0.0,21.4,29.6,8.2,2
1,normal,none,0,False,0.0,emergency_3,604.0,700.0,96.0,568.1,49.0,16.7,32.9,16.2,1
1,normal,none,0,False,0.0,emergency_6,650.0,766.0,116.0,908.1,27.0,22.1,37.3,15.3,2
1,normal,none,0,False,0.0,emergency_8,789.0,810.0,21.0,303.7,1.0,35.7,19.5,-16.2,0
1,normal,none,0,False,0.0,emergency_7,772.0,864.0,92.0,638.5,29.0,32.9,35.1,2.2,3
1,normal,none,0,False,0.0,emergency_9,857.0,869.0,12.0,191.9,0.0,30.7,38.4,7.7,0
1,normal,smart_phase,10,True,50.0,emergency_0,315.0,327.0,12.0,161.7,0.0,18.1,29.6,11.5,0
