tlid,priority_distance,event_count,unique_vehicles,mean_dist_m,mean_time_s
cluster_2463130197_2521048059_2521048066_2521048077_#8more,100.0,233,7,91.7,705.8
cluster_2463130197_2521048059_2521048066_2521048077_#8more,150.0,228,7,124.51,700.72
cluster_2463130197_2521048059_2521048066_2521048077_#8more,200.0,228,7,137.19,700.84
cluster_2463130197_2521048059_2521048066_2521048077_#8more,50.0,212,7,40.39,720.13
26108679,50.0,151,5,39.41,803.49
26108679,100.0,150,5,70.01,799.26
26108679,150.0,150,5,99.59,802.55
207612821,150.0,148,5,44.42,806.93
207612821,50.0,148,5,36.51,809.51
26108679,200.0,147,5,133.96,800.46
207612821,200.0,147,5,44.2,807.74
207612821,100.0,145,5,43.43,805.08
207612818,50.0,121,4,29.71,816.45
207611518,100.0,120,4,76.14,675.42
207611518,150.0,119,4,109.09,671.13
207611518,200.0,119,4,117.09,670.97
207612818,150.0,119,4,29.39,814.08
207612818,200.0,117,4,29.25,821.12
207612818,100.0,116,4,29.54,818.37
207611518,50.0,115,4,37.65,670.83
joinedS_1129611960_cluster_1129611900_1130878197_13238047179_13238047181_#2more,150.0,91,3,92.43,762.62
joinedS_1129611960_cluster_1129611900_1130878197_13238047179_13238047181_#2more,100.0,91,3,83.84,765.43
joinedS_1129611960_cluster_1129611900_1130878197_13238047179_13238047181_#2more,200.0,90,3,117.7,760.77
joinedS_1129611960_cluster_1129611900_1130878197_13238047179_13238047181_#2more,50.0,84,3,44.34,765.81
3073776212,50.0,61,2,41.39,857.95
3073776212,200.0,60,2,116.51,851.28
3073776212,100.0,60,2,71.09,854.03
3073776212,150.0,60,2,98.3,853.7
4937225643,50.0,60,2,17.05,549.37
4937225643,100.0,60,2,20.65,552.35
4937225643,150.0,60,2,21.9,551.85
4937225643,200.0,60,2,22.91,552.17
3963079713,50.0,30,1,25.7,358.03
3963079713,100.0,30,1,25.7,358.03
3963079713,150.0,30,1,25.7,358.03
3963079713,200.0,30,1,25.7,358.03
